Instance,Formulation,MILP Objective,Upper Bound,Relative Gap,Time (s),MILP Status,MILP Term. Condition,LP Relaxation,Num. Binary Var.,Total Num. Var.,Num. Constraints
network_1_0_25_1_1,F1_Base_Model,2000.0,2000.0,0.0,36.35,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_1_25_1_1,F1_Base_Model,1956.0,1956.0,0.0,52.8,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_2_25_1_1,F1_Base_Model,1956.0,1956.0,0.0,29.33,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_0_30_1_1,F1_Base_Model,2500.0,2500.0,0.0,66.61,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_1_30_1_1,F1_Base_Model,2484.0,2484.0,0.0,155.74,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_2_30_1_1,F1_Base_Model,2484.0,2484.0,0.0,101.5,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_0_35_1_1,F1_Base_Model,2916.0,2916.0,0.0,1037.88,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_1_35_1_1,F1_Base_Model,2916.0,2916.0,0.0,1757.92,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_2_35_1_1,F1_Base_Model,2916.0,2916.0,0.0,1135.95,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_0_40_1_1,F1_Base_Model,3440.0,3440.27,0.0,14915.4,ok,optimal,4104.0,14063.0,18040.0,4551.0
network_1_1_40_1_1,F1_Base_Model,3440.0,3440.27,0.0,37882.27,ok,optimal,4104.0,14063.0,18040.0,4551.0
network_1_2_40_1_1,,,,,,,,,,,
network_3_0_25_1_1,F1_Base_Model,-1026.0,-1026.0,0.0,62.74,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_1_25_1_1,F1_Base_Model,-1026.0,-1026.0,0.0,118.26,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_2_25_1_1,F1_Base_Model,-1026.0,-1026.0,0.0,64.09,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_0_30_1_1,F1_Base_Model,-794.0,-794.0,0.0,983.72,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_1_30_1_1,F1_Base_Model,-794.0,-794.0,0.0,852.68,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_2_30_1_1,F1_Base_Model,-794.0,-794.0,0.0,898.94,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_0_35_1_1,F1_Base_Model,-504.0,-504.0,0.0,3653.64,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_1_35_1_1,F1_Base_Model,-504.0,-504.0,0.0,5439.3,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_2_35_1_1,F1_Base_Model,-504.0,-504.0,0.0,5427.13,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_0_40_1_1,F1_Base_Model,-272.0,-272.0,0.0,17721.4,ok,optimal,920.0,17958.0,23165.0,6437.0
